0	0.00	0.00
1	3.00	0.00
2	6.00	0.00
3	9.00	0.00
4	12.00	0.00
5	15.00	0.00
6	18.00	0.00
7	21.00	0.00
8	24.00	0.00
9	27.00	0.00
10	0.00	3.00
11	3.00	3.00
12	6.00	3.00
13	9.00	3.00
14	12.00	3.00
15	15.00	3.00
16	18.00	3.00
17	21.00	3.00
18	24.00	3.00
19	27.00	3.00
20	0.00	6.00
21	3.00	6.00
22	6.00	6.00
23	9.00	6.00
24	12.00	6.00
25	15.00	6.00
26	18.00	6.00
27	21.00	6.00
28	24.00	6.00
29	27.00	6.00
30	0.00	9.00
31	3.00	9.00
32	6.00	9.00
33	9.00	9.00
34	12.00	9.00
35	15.00	9.00
36	18.00	9.00
37	21.00	9.00
38	24.00	9.00
39	27.00	9.00
40	0.00	12.00
41	3.00	12.00
42	6.00	12.00
43	9.00	12.00
44	12.00	12.00
45	15.00	12.00
46	18.00	12.00
47	21.00	12.00
48	24.00	12.00
49	27.00	12.00
50	0.00	15.00
51	3.00	15.00
52	6.00	15.00
53	9.00	15.00
54	12.00	15.00
55	15.00	15.00
56	18.00	15.00
57	21.00	15.00
58	24.00	15.00
59	27.00	15.00
60	0.00	18.00
61	3.00	18.00
62	6.00	18.00
63	9.00	18.00
64	12.00	18.00
65	15.00	18.00
66	18.00	18.00
67	21.00	18.00
68	24.00	18.00
69	27.00	18.00
70	0.00	21.00
71	3.00	21.00
72	6.00	21.00
73	9.00	21.00
74	12.00	21.00
75	15.00	21.00
76	18.00	21.00
77	21.00	21.00
78	24.00	21.00
79	27.00	21.00
80	0.00	24.00
81	3.00	24.00
82	6.00	24.00
83	9.00	24.00
84	12.00	24.00
85	15.00	24.00
86	18.00	24.00
87	21.00	24.00
88	24.00	24.00
89	27.00	24.00
90	0.00	27.00
91	3.00	27.00
92	6.00	27.00
93	9.00	27.00
94	12.00	27.00
95	15.00	27.00
96	18.00	27.00
97	21.00	27.00
98	24.00	27.00
99	27.00	27.00
