gain	19	1	-98.69
gain	1	20	-77.48
gain	20	1	-76.07
gain	1	21	-74.20
gain	21	1	-75.38
gain	1	22	-72.15
gain	22	1	-70.03
gain	1	23	-78.12
gain	23	1	-77.75
gain	1	24	-82.96
gain	24	1	-82.74
gain	1	25	-85.59
gain	25	1	-83.25
gain	1	26	-86.22
gain	26	1	-84.53
gain	1	27	-96.19
gain	27	1	-94.36
gain	1	28	-96.84
gain	28	1	-97.12
gain	1	29	-101.89
gain	29	1	-99.63
gain	1	30	-78.41
gain	30	1	-75.86
gain	1	31	-78.39
gain	31	1	-75.75
gain	1	32	-74.94
gain	32	1	-71.61
gain	1	33	-86.64
gain	33	1	-87.38
gain	1	34	-88.15
gain	34	1	-87.03
gain	1	35	-91.74
gain	35	1	-88.48
gain	1	36	-95.37
gain	36	1	-94.09
gain	1	37	-95.35
gain	37	1	-92.38
gain	1	38	-100.43
gain	38	1	-98.78
gain	1	39	-97.89
gain	39	1	-95.66
gain	1	40	-86.25
gain	40	1	-83.56
gain	1	41	-86.09
gain	41	1	-82.59
gain	1	42	-83.69
gain	42	1	-83.37
gain	1	43	-87.26
gain	43	1	-86.14
gain	1	44	-95.00
gain	44	1	-93.56
gain	1	45	-86.67
gain	45	1	-84.41
gain	1	46	-102.76
gain	46	1	-101.08
gain	1	47	-97.20
gain	47	1	-95.23
gain	1	48	-104.52
gain	48	1	-103.34
gain	1	49	-100.47
gain	49	1	-99.86
gain	1	50	-88.61
gain	50	1	-87.64
gain	1	51	-93.73
gain	51	1	-92.14
gain	1	52	-92.78
gain	52	1	-90.44
gain	1	53	-90.44
gain	53	1	-90.69
gain	1	54	-95.05
gain	54	1	-93.11
gain	1	55	-97.60
gain	55	1	-95.25
gain	1	56	-95.01
gain	56	1	-95.05
gain	1	57	-96.91
gain	57	1	-95.12
gain	1	58	-100.80
gain	58	1	-99.72
gain	1	59	-103.89
gain	59	1	-102.00
gain	1	60	-98.48
gain	60	1	-98.74
gain	1	61	-93.08
gain	61	1	-93.14
gain	1	62	-88.23
gain	62	1	-88.22
gain	1	63	-97.35
gain	63	1	-95.71
gain	1	64	-95.84
gain	64	1	-94.53
gain	1	65	-93.07
gain	65	1	-91.71
gain	1	66	-102.77
gain	66	1	-101.61
gain	1	67	-99.44
gain	67	1	-99.63
gain	1	68	-104.47
gain	68	1	-102.44
gain	1	69	-101.00
gain	69	1	-99.96
gain	1	70	-100.26
gain	70	1	-98.88
gain	1	71	-91.03
gain	71	1	-88.12
gain	1	72	-93.80
gain	72	1	-91.66
gain	1	73	-95.09
gain	73	1	-94.90
gain	1	74	-96.44
gain	74	1	-96.39
gain	1	75	-99.95
gain	75	1	-100.77
gain	1	76	-100.46
gain	76	1	-97.58
gain	1	77	-100.15
gain	77	1	-99.10
gain	1	78	-106.27
gain	78	1	-104.86
gain	1	79	-102.72
gain	79	1	-100.93
gain	1	80	-101.18
gain	80	1	-100.54
gain	1	81	-98.10
gain	81	1	-93.92
